,,text,target,Text,text_final
0,40953,"We understand that this may be a challenging time for individuals and their families so we've put together specific loan programs to provide some relief. 

?? Consumer Loan Payment Deferral Program
?? Real Estate Payment Deferral Program 

More info here: https://t.co/bU6g9h9Gql",2,"['we', 'understand', 'that', 'this', 'may', 'be', 'a', 'challenging', 'time', 'for', 'individuals', 'and', 'their', 'families', 'so', 'we', ""'ve"", 'put', 'together', 'specific', 'loan', 'programs', 'to', 'provide', 'some', 'relief', '.', '?', '?', 'consumer', 'loan', 'payment', 'deferral', 'program', '?', '?', 'real', 'estate', 'payment', 'deferral', 'program', 'more', 'info', 'here', ':', 'https', ':', '//t.co/bu6g9h9gql']","['understand', 'may', 'challenging', 'time', 'individual', 'family', 'put', 'together', 'specific', 'loan', 'program', 'provide', 'relief', 'consumer', 'loan', 'payment', 'deferral', 'program', 'real', 'estate', 'payment', 'deferral', 'program', 'info', 'http']"
1,33563,What s the safest way to shop at the grocery store Does being a smoker increase risk Advice for someone at the end of pregnancy Answers to your COVID 19 questions here,2,"['what', 's', 'the', 'safest', 'way', 'to', 'shop', 'at', 'the', 'grocery', 'store', 'does', 'being', 'a', 'smoker', 'increase', 'risk', 'advice', 'for', 'someone', 'at', 'the', 'end', 'of', 'pregnancy', 'answers', 'to', 'your', 'covid', '19', 'questions', 'here']","['safe', 'way', 'shop', 'grocery', 'store', 'smoker', 'increase', 'risk', 'advice', 'someone', 'end', 'pregnancy', 'answer', 'covid', 'question']"
2,33028,"#CoronaVirusCanada
Worth emulating: executives working in grocery stores so we can be served. #Grateful
https://t.co/MJXA7XCInq",2,"['#', 'coronaviruscanada', 'worth', 'emulating', ':', 'executives', 'working', 'in', 'grocery', 'stores', 'so', 'we', 'can', 'be', 'served', '.', '#', 'grateful', 'https', ':', '//t.co/mjxa7xcinq']","['coronaviruscanada', 'worth', 'emulate', 'executive', 'work', 'grocery', 'store', 'serve', 'grateful', 'http']"
3,35157,"With this covid 19 from China,  Ghanaians are stepping up to make their own consumer products to sell on https://t.co/WAEpVgvNOH.
Are you looking for products made in Ghana?  Or Do you have products to sell? Rakmart is the number one  online marketplace to buy and sell in Ghana",2,"['with', 'this', 'covid', '19', 'from', 'china', ',', 'ghanaians', 'are', 'stepping', 'up', 'to', 'make', 'their', 'own', 'consumer', 'products', 'to', 'sell', 'on', 'https', ':', '//t.co/waepvgvnoh', '.', 'are', 'you', 'looking', 'for', 'products', 'made', 'in', 'ghana', '?', 'or', 'do', 'you', 'have', 'products', 'to', 'sell', '?', 'rakmart', 'is', 'the', 'number', 'one', 'online', 'marketplace', 'to', 'buy', 'and', 'sell', 'in', 'ghana']","['covid', 'china', 'ghanaians', 'step', 'make', 'consumer', 'product', 'sell', 'http', 'look', 'product', 'make', 'ghana', 'product', 'sell', 'rakmart', 'number', 'one', 'online', 'marketplace', 'buy', 'sell', 'ghana']"
4,41008,"Endless gratitude to the grocery store workers, truck drivers, janitors, farmers, and so many other low-wage workers who are holding our world together with their bare hands. We applaud you. We stand with you.

#COVID-19 #Coronavirus #COVID #COVID19

https://t.co/lKjL9Z13CJ",2,"['endless', 'gratitude', 'to', 'the', 'grocery', 'store', 'workers', ',', 'truck', 'drivers', ',', 'janitors', ',', 'farmers', ',', 'and', 'so', 'many', 'other', 'low-wage', 'workers', 'who', 'are', 'holding', 'our', 'world', 'together', 'with', 'their', 'bare', 'hands', '.', 'we', 'applaud', 'you', '.', 'we', 'stand', 'with', 'you', '.', '#', 'covid-19', '#', 'coronavirus', '#', 'covid', '#', 'covid19', 'https', ':', '//t.co/lkjl9z13cj']","['endless', 'gratitude', 'grocery', 'store', 'worker', 'truck', 'driver', 'janitor', 'farmer', 'many', 'worker', 'hold', 'world', 'together', 'bare', 'hand', 'applaud', 'stand', 'coronavirus', 'covid', 'http']"
5,39485,Remember if anyone in your household shows symptoms that may be Coronavirus then you MUST all stay at home That means no one goes to the supermarket or for walks outside Everyone stays in and follows these rules,0,"['remember', 'if', 'anyone', 'in', 'your', 'household', 'shows', 'symptoms', 'that', 'may', 'be', 'coronavirus', 'then', 'you', 'must', 'all', 'stay', 'at', 'home', 'that', 'means', 'no', 'one', 'goes', 'to', 'the', 'supermarket', 'or', 'for', 'walks', 'outside', 'everyone', 'stays', 'in', 'and', 'follows', 'these', 'rules']","['remember', 'anyone', 'household', 'show', 'symptom', 'may', 'coronavirus', 'must', 'stay', 'home', 'mean', 'one', 'go', 'supermarket', 'walk', 'outside', 'everyone', 'stay', 'follow', 'rule']"
6,39992,? Ser docente (online) en tiempos de COVID-19 ? #ENKIL nice shopping? https://t.co/r4UA4olHtO,2,"['?', 'ser', 'docente', '(', 'online', ')', 'en', 'tiempos', 'de', 'covid-19', '?', '#', 'enkil', 'nice', 'shopping', '?', 'https', ':', '//t.co/r4ua4olhto']","['ser', 'docente', 'online', 'en', 'tiempos', 'de', 'enkil', 'nice', 'shopping', 'http']"
7,33002,@RaylaRimpson I'm the first person a Covid-19 person meets before getting to the doctor or hospital. I was issued ONE N95 mask when this all started. I had to go on the open market to buy a dozen at inflated prices just to keep safe doing my job. Shortage,2,"['@', 'raylarimpson', 'i', ""'m"", 'the', 'first', 'person', 'a', 'covid-19', 'person', 'meets', 'before', 'getting', 'to', 'the', 'doctor', 'or', 'hospital', '.', 'i', 'was', 'issued', 'one', 'n95', 'mask', 'when', 'this', 'all', 'started', '.', 'i', 'had', 'to', 'go', 'on', 'the', 'open', 'market', 'to', 'buy', 'a', 'dozen', 'at', 'inflated', 'prices', 'just', 'to', 'keep', 'safe', 'doing', 'my', 'job', '.', 'shortage']","['raylarimpson', 'first', 'person', 'person', 'meet', 'get', 'doctor', 'hospital', 'issue', 'one', 'mask', 'start', 'go', 'open', 'market', 'buy', 'dozen', 'inflated', 'price', 'keep', 'safe', 'job', 'shortage']"
8,35103,"Our grannies' wisdom still worth of sharing. #COVID19 #coronavirus
#Venturahandmadeshop 

https://t.co/qI6IL58A6n https://t.co/u9tFUmVcoo",2,"['our', 'grannies', ""'"", 'wisdom', 'still', 'worth', 'of', 'sharing', '.', '#', 'covid19', '#', 'coronavirus', '#', 'venturahandmadeshop', 'https', ':', '//t.co/qi6il58a6n', 'https', ':', '//t.co/u9tfumvcoo']","['granny', 'wisdom', 'still', 'worth', 'share', 'coronavirus', 'venturahandmadeshop', 'http', 'http']"
9,34895,We promise we're not hoarding. Who could have know that donations into our #museumcollections years ago would relate to items in high-demand during the current #coronavirus pandemic? This unstaged photo is real museum objects in their proper storage places. #toiletpaper #wetwipes https://t.co/fg51TPA5Ex,2,"['we', 'promise', 'we', ""'re"", 'not', 'hoarding', '.', 'who', 'could', 'have', 'know', 'that', 'donations', 'into', 'our', '#', 'museumcollections', 'years', 'ago', 'would', 'relate', 'to', 'items', 'in', 'high-demand', 'during', 'the', 'current', '#', 'coronavirus', 'pandemic', '?', 'this', 'unstaged', 'photo', 'is', 'real', 'museum', 'objects', 'in', 'their', 'proper', 'storage', 'places', '.', '#', 'toiletpaper', '#', 'wetwipes', 'https', ':', '//t.co/fg51tpa5ex']","['promise', 'hoard', 'could', 'know', 'donation', 'museumcollections', 'year', 'ago', 'would', 'relate', 'item', 'current', 'coronavirus', 'pandemic', 'unstaged', 'photo', 'real', 'museum', 'object', 'proper', 'storage', 'place', 'toiletpaper', 'wetwipes', 'http']"
